,Name,Sex,Age,Height,Weight,Team,Games,Year,Sport,Event,Medal
20163,Nikolay Aleksandrovich Sidorov,M,23.0,190.0,84.0,Soviet Union,1980 Summer,1980,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
20164,Mariya Igorevna Sidorova,F,28.0,178.0,65.0,Russia,2008 Summer,2008,Handball,Handball Women's Handball,Silver
20165,Valentina Vasilyevna Sidorova (Burochkina-),F,22.0,170.0,67.0,Soviet Union,1976 Summer,1976,Fencing,"Fencing Women's Foil, Team",Gold
20166,Valentina Vasilyevna Sidorova (Burochkina-),F,26.0,170.0,67.0,Soviet Union,1980 Summer,1980,Fencing,"Fencing Women's Foil, Team",Silver
20167,Viktor Aleksandrovich Sidyak,M,24.0,176.0,76.0,Soviet Union,1968 Summer,1968,Fencing,"Fencing Men's Sabre, Team",Gold
20168,Viktor Aleksandrovich Sidyak,M,28.0,176.0,76.0,Soviet Union,1972 Summer,1972,Fencing,"Fencing Men's Sabre, Individual",Gold
20169,Viktor Aleksandrovich Sidyak,M,28.0,176.0,76.0,Soviet Union,1972 Summer,1972,Fencing,"Fencing Men's Sabre, Team",Silver
20170,Viktor Aleksandrovich Sidyak,M,32.0,176.0,76.0,Soviet Union,1976 Summer,1976,Fencing,"Fencing Men's Sabre, Individual",Bronze
20171,Viktor Aleksandrovich Sidyak,M,32.0,176.0,76.0,Soviet Union,1976 Summer,1976,Fencing,"Fencing Men's Sabre, Team",Gold
20172,Viktor Aleksandrovich Sidyak,M,36.0,176.0,76.0,Soviet Union,1980 Summer,1980,Fencing,"Fencing Men's Sabre, Team",Gold
20173,Janusz Jan Sido,M,23.0,182.0,93.0,Poland,1956 Summer,1956,Athletics,Athletics Men's Javelin Throw,Silver
20174,"Jonathan Scott ""Jon"" Sieben",M,17.0,176.0,74.0,Australia,1984 Summer,1984,Swimming,Swimming Men's 200 metres Butterfly,Gold
20175,"Jonathan Scott ""Jon"" Sieben",M,17.0,176.0,74.0,Australia,1984 Summer,1984,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
20176,Christoph Sieber,M,29.0,177.0,68.0,Austria,2000 Summer,2000,Sailing,Sailing Men's Windsurfer,Gold
20177,"Gloria Siebert (Kovarik-, Uibel-)",F,24.0,170.0,54.0,East Germany,1988 Summer,1988,Athletics,Athletics Women's 100 metres Hurdles,Silver
20178,"Georg ""Jrg"" Siebert",M,24.0,193.0,90.0,West Germany,1968 Summer,1968,Rowing,Rowing Men's Coxed Eights,Gold
20179,Birte Siech,F,21.0,180.0,75.0,East Germany,1988 Summer,1988,Rowing,Rowing Women's Coxed Fours,Gold
20180,Birte Siech,F,25.0,180.0,75.0,Germany,1992 Summer,1992,Rowing,Rowing Women's Coxless Fours,Bronze
20181,Yuriy Heorhiyovych Siedykh,M,21.0,185.0,106.0,Soviet Union,1976 Summer,1976,Athletics,Athletics Men's Hammer Throw,Gold
20182,Yuriy Heorhiyovych Siedykh,M,25.0,185.0,106.0,Soviet Union,1980 Summer,1980,Athletics,Athletics Men's Hammer Throw,Gold
20183,Yuriy Heorhiyovych Siedykh,M,33.0,185.0,106.0,Soviet Union,1988 Summer,1988,Athletics,Athletics Men's Hammer Throw,Silver
20184,Silvia Siefert (Heinrich-),F,22.0,160.0,66.0,East Germany,1976 Summer,1976,Handball,Handball Women's Handball,Silver
20185,Olivier Floris Johannes Siegelaar,M,29.0,197.0,100.0,Netherlands,2016 Summer,2016,Rowing,Rowing Men's Coxed Eights,Bronze
20186,Sarah Elaine Siegelaar,F,22.0,180.0,74.0,Netherlands,2004 Summer,2004,Rowing,Rowing Women's Coxed Eights,Bronze
20187,Sarah Elaine Siegelaar,F,26.0,180.0,74.0,Netherlands,2008 Summer,2008,Rowing,Rowing Women's Coxed Eights,Silver
20188,Siegrun Siegl (Thon-),F,21.0,174.0,60.0,East Germany,1976 Summer,1976,Athletics,Athletics Women's Pentathlon,Gold
20189,Gnter Siegmund,M,23.0,189.0,85.0,Germany,1960 Summer,1960,Boxing,Boxing Men's Heavyweight,Bronze
20190,Krzysztof Siemion,M,26.0,168.0,83.0,Poland,1992 Summer,1992,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
20191,"Laura Gail ""Lauri"" Siering",F,19.0,163.0,57.0,United States,1976 Summer,1976,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
20192,Cezary Tadeusz Siess,M,24.0,182.0,82.0,Poland,1992 Summer,1992,Fencing,"Fencing Men's Foil, Team",Bronze
20193,Ralf Sievers,M,26.0,175.0,70.0,West Germany,1988 Summer,1988,Football,Football Men's Football,Bronze
20194,Jani Nikanor Sievinen,M,22.0,181.0,79.0,Finland,1996 Summer,1996,Swimming,Swimming Men's 200 metres Individual Medley,Silver
20195,Gujn Valur Sigursson,M,28.0,187.0,83.0,Iceland,2008 Summer,2008,Handball,Handball Men's Handball,Silver
20196,Sigfs Sigursson,M,33.0,198.0,114.0,Iceland,2008 Summer,2008,Handball,Handball Men's Handball,Silver
20197,Sileshi Mekuria Sihine,M,21.0,168.0,58.0,Ethiopia,2004 Summer,2004,Athletics,"Athletics Men's 10,000 metres",Silver
20198,Sileshi Mekuria Sihine,M,25.0,168.0,58.0,Ethiopia,2008 Summer,2008,Athletics,"Athletics Men's 10,000 metres",Silver
20199,Vin Villiam Siikaniemi (Siegberg-),M,25.0,182.0,83.0,Finland,1912 Summer,1912,Athletics,"Athletics Men's Javelin Throw, Both Hands",Silver
20200,Hannu Juhani Siitonen,M,27.0,183.0,87.0,Finland,1976 Summer,1976,Athletics,Athletics Men's Javelin Throw,Silver
20201,Alette Hilde Sijbring,F,26.0,174.0,68.0,Netherlands,2008 Summer,2008,Water Polo,Water Polo Women's Water Polo,Gold
20202,Andrs Sike,M,23.0,167.0,63.0,Hungary,1988 Summer,1988,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
20203,Valentin Silaghi,M,23.0,182.0,75.0,Romania,1980 Summer,1980,Boxing,Boxing Men's Middleweight,Bronze
20204,Ileana Silai (Gergely-),F,26.0,167.0,49.0,Romania,1968 Summer,1968,Athletics,Athletics Women's 800 metres,Silver
20205,Aleksandr Pavlovich Silayev,M,32.0,187.0,78.0,Soviet Union,1960 Summer,1960,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
20206,Carl Johan Silfverstrand,M,26.0,176.0,73.0,Sweden,1912 Summer,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
20207,Carlo Silipo,M,20.0,199.0,95.0,Italy,1992 Summer,1992,Water Polo,Water Polo Men's Water Polo,Gold
20208,Carlo Silipo,M,24.0,199.0,95.0,Italy,1996 Summer,1996,Water Polo,Water Polo Men's Water Polo,Bronze
20209,Viorica Daniela Siliva (-Harper),F,16.0,145.0,38.0,Romania,1988 Summer,1988,Gymnastics,Gymnastics Women's Individual All-Around,Silver
20210,Viorica Daniela Siliva (-Harper),F,16.0,145.0,38.0,Romania,1988 Summer,1988,Gymnastics,Gymnastics Women's Team All-Around,Silver
20211,Viorica Daniela Siliva (-Harper),F,16.0,145.0,38.0,Romania,1988 Summer,1988,Gymnastics,Gymnastics Women's Floor Exercise,Gold
20212,Viorica Daniela Siliva (-Harper),F,16.0,145.0,38.0,Romania,1988 Summer,1988,Gymnastics,Gymnastics Women's Horse Vault,Bronze
20213,Viorica Daniela Siliva (-Harper),F,16.0,145.0,38.0,Romania,1988 Summer,1988,Gymnastics,Gymnastics Women's Uneven Bars,Gold
20214,Viorica Daniela Siliva (-Harper),F,16.0,145.0,38.0,Romania,1988 Summer,1988,Gymnastics,Gymnastics Women's Balance Beam,Gold
20215,Harry Valfrid Siljander,M,29.0,176.0,79.5,Finland,1952 Summer,1952,Boxing,Boxing Men's Light-Heavyweight,Bronze
20216,Mzahir Sille,M,28.0,169.0,63.0,Turkey,1960 Summer,1960,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
20217,Lynn Silliman,F,17.0,156.0,44.0,United States,1976 Summer,1976,Rowing,Rowing Women's Coxed Eights,Bronze
20218,"Michael Barnwell ""Mike"" Silliman",M,24.0,198.0,105.0,United States,1968 Summer,1968,Basketball,Basketball Men's Basketball,Gold
20219,Andrey Aleksandrovich Silnov,M,23.0,198.0,83.0,Russia,2008 Summer,2008,Athletics,Athletics Men's High Jump,Gold
20220,Juris Silovs,M,21.0,177.0,80.0,Soviet Union,1972 Summer,1972,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
20221,Juris Silovs,M,25.0,177.0,80.0,Soviet Union,1976 Summer,1976,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
20222,Alex Sandro da Silva,M,23.0,192.0,80.0,Brazil,2008 Summer,2008,Football,Football Men's Football,Bronze
20223,Emanuel Eduardo Pimenta Vieira da Silva,M,26.0,186.0,87.0,Portugal,2012 Summer,2012,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
20224,Erlon de Souza Silva,M,25.0,175.0,78.0,Brazil,2016 Summer,2016,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
20225,"Jacqueline Louise ""Jackie"" da Cruz Silva",F,34.0,170.0,61.0,Brazil-1,1996 Summer,1996,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
20226,Lus Falco de Mena e Silva,M,34.0,167.0,62.0,Portugal,1936 Summer,1936,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze
20227,Lus Falco de Mena e Silva,M,46.0,167.0,62.0,Portugal,1948 Summer,1948,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
20228,Rafaela Lopes Silva,F,24.0,169.0,57.0,Brazil,2016 Summer,2016,Judo,Judo Women's Lightweight,Gold
20229,Rui Manuel Monteiro da Silva,M,27.0,175.0,65.0,Portugal,2004 Summer,2004,Athletics,"Athletics Men's 1,500 metres",Bronze
20230,Thiago Emiliano da Silva,M,23.0,183.0,72.0,Brazil,2008 Summer,2008,Football,Football Men's Football,Bronze
20231,Thiago Emiliano da Silva,M,27.0,183.0,72.0,Brazil,2012 Summer,2012,Football,Football Men's Football,Silver
20232,Yarisley Silva Rodrguez,F,25.0,161.0,61.0,Cuba,2012 Summer,2012,Athletics,Athletics Women's Pole Vault,Silver
20233,Edvaldo Valrio da Silva Filho,M,22.0,194.0,78.0,Brazil,2000 Summer,2000,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
20234,Emily Susan Silver,F,22.0,180.0,70.0,United States,2008 Summer,2008,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
20235,L. Jay Silvester,M,34.0,191.0,114.0,United States,1972 Summer,1972,Athletics,Athletics Men's Discus Throw,Silver
20236,"Silvia Andrea ""Silvinha"" Santos Luz",F,21.0,173.0,66.0,Brazil,1996 Summer,1996,Basketball,Basketball Women's Basketball,Silver
20237,"Silvia Andrea ""Silvinha"" Santos Luz",F,25.0,173.0,66.0,Brazil,2000 Summer,2000,Basketball,Basketball Women's Basketball,Bronze
20238,"Silvio ""Silvinho"" Paiva",M,25.0,169.0,63.0,Brazil,1984 Summer,1984,Football,Football Men's Football,Silver
20239,Anselmo Silvino,M,26.0,165.0,75.0,Italy,1972 Summer,1972,Weightlifting,Weightlifting Men's Middleweight,Bronze
20240,Sim Gwon-Ho,M,23.0,160.0,54.0,South Korea,1996 Summer,1996,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Gold
20241,Sim Gwon-Ho,M,27.0,160.0,54.0,South Korea,2000 Summer,2000,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
20242,Sim Jae-Hong,M,20.0,187.0,83.0,South Korea,1988 Summer,1988,Handball,Handball Men's Handball,Silver
