,Name,Sex,Age,Height,Weight,Team,Games,Year,Sport,Event,Medal
1682,Stig Andr Berge,M,33.0,167.0,60.0,Norway,2016 Summer,2016,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
1683,"Gabriel ""Gabe"" Bergen",M,30.0,187.0,92.0,Canada,2012 Summer,2012,Rowing,Rowing Men's Coxed Eights,Silver
1684,Larisa Abramovna Bergen (Goncharova-),F,26.0,171.0,67.0,Soviet Union,1976 Summer,1976,Volleyball,Volleyball Women's Volleyball,Silver
1685,"Isaac ""Ike"" Berger",M,20.0,157.0,59.5,United States,1956 Summer,1956,Weightlifting,Weightlifting Men's Featherweight,Gold
1686,"Isaac ""Ike"" Berger",M,23.0,157.0,59.5,United States,1960 Summer,1960,Weightlifting,Weightlifting Men's Featherweight,Silver
1687,"Isaac ""Ike"" Berger",M,27.0,157.0,59.5,United States,1964 Summer,1964,Weightlifting,Weightlifting Men's Featherweight,Silver
1688,Jan Berger,M,24.0,178.0,73.0,Czechoslovakia,1980 Summer,1980,Football,Football Men's Football,Gold
1689,"Marcus ""Mark"" Berger",M,30.0,185.0,116.0,Canada,1984 Summer,1984,Judo,Judo Men's Heavyweight,Bronze
1690,Peter Berger,M,22.0,196.0,104.0,West Germany,1972 Summer,1972,Rowing,Rowing Men's Coxed Fours,Gold
1691,"Samuel ""Sam"" Berger",M,19.0,188.0,82.0,United States,1904 Summer,1904,Boxing,Boxing Men's Heavyweight,Gold
1692,Tore Berger,M,23.0,186.0,76.0,Norway,1968 Summer,1968,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
1693,Tore Berger,M,27.0,186.0,76.0,Norway,1972 Summer,1972,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
1694,James Hunter Bergeson,M,27.0,183.0,86.0,United States,1988 Summer,1988,Water Polo,Water Polo Men's Water Polo,Silver
1695,Emma Sofia Berglund,F,27.0,171.0,64.0,Sweden,2016 Summer,2016,Football,Football Women's Football,Silver
1696,Arne Bergodd,M,27.0,190.0,84.0,Norway,1976 Summer,1976,Rowing,Rowing Men's Coxless Fours,Silver
1697,Kajsa Margareta Bergqvist (-Herngren-),F,23.0,175.0,59.0,Sweden,2000 Summer,2000,Athletics,Athletics Women's High Jump,Bronze
1698,Bjrn Bergvall,M,21.0,182.0,75.0,Sirene,1960 Summer,1960,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
1699,Miroslav Beri,M,23.0,198.0,92.0,Serbia and Montenegro,1996 Summer,1996,Basketball,Basketball Men's Basketball,Silver
1700,Denys Yuriyovych Berinchyk,M,24.0,170.0,64.0,Ukraine,2012 Summer,2012,Boxing,Boxing Men's Light-Welterweight,Silver
1701,Glenn Stuart Beringen,M,19.0,185.0,72.0,Australia,1984 Summer,1984,Swimming,Swimming Men's 200 metres Breaststroke,Silver
1702,Lobke Berkhout,F,27.0,183.0,70.0,Netherlands,2008 Summer,2008,Sailing,Sailing Women's Two Person Dinghy,Silver
1703,Lobke Berkhout,F,31.0,183.0,70.0,Netherlands,2012 Summer,2012,Sailing,Sailing Women's Two Person Dinghy,Bronze
1704,Krisztin Berki,M,27.0,178.0,70.0,Hungary,2012 Summer,2012,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
1705,"David Charles ""Dave"" Berkoff",M,21.0,175.0,70.0,United States,1988 Summer,1988,Swimming,Swimming Men's 100 metres Backstroke,Silver
1706,"David Charles ""Dave"" Berkoff",M,21.0,175.0,70.0,United States,1988 Summer,1988,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1707,"David Charles ""Dave"" Berkoff",M,25.0,175.0,70.0,United States,1992 Summer,1992,Swimming,Swimming Men's 100 metres Backstroke,Bronze
1708,"David Charles ""Dave"" Berkoff",M,25.0,175.0,70.0,United States,1992 Summer,1992,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1709,Aleksandr Nikolayevich Berkutov,M,23.0,180.0,80.0,Soviet Union,1956 Summer,1956,Rowing,Rowing Men's Double Sculls,Gold
1710,Aleksandr Nikolayevich Berkutov,M,27.0,180.0,80.0,Soviet Union,1960 Summer,1960,Rowing,Rowing Men's Double Sculls,Silver
1711,"Robert Lee ""Bob"" Berland",M,22.0,188.0,95.0,United States,1984 Summer,1984,Judo,Judo Men's Middleweight,Silver
1712,Yanet Bermoy Acosta,F,21.0,154.0,48.0,Cuba,2008 Summer,2008,Judo,Judo Women's Extra-Lightweight,Silver
1713,Yanet Bermoy Acosta,F,25.0,154.0,48.0,Cuba,2012 Summer,2012,Judo,Judo Women's Half-Lightweight,Silver
1714,Tell Schirnding Berna,M,20.0,188.0,70.0,United States,1912 Summer,1912,Athletics,"Athletics Men's 3,000 metres, Team",Gold
1715,Bernard Rajzman,M,27.0,187.0,89.0,Brazil,1984 Summer,1984,Volleyball,Volleyball Men's Volleyball,Silver
1716,Alain Andr Louis Edmond Bernard,M,25.0,196.0,90.0,France,2008 Summer,2008,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1717,Alain Andr Louis Edmond Bernard,M,25.0,196.0,90.0,France,2008 Summer,2008,Swimming,Swimming Men's 100 metres Freestyle,Gold
1718,Alain Andr Louis Edmond Bernard,M,25.0,196.0,90.0,France,2008 Summer,2008,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1719,Alain Andr Louis Edmond Bernard,M,29.0,196.0,90.0,France,2012 Summer,2012,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1720,Kent Bede Bernard,M,22.0,185.0,77.0,Trinidad and Tobago,1964 Summer,1964,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1721,Lorenzo Bernardi,M,27.0,199.0,94.0,Italy,1996 Summer,1996,Volleyball,Volleyball Men's Volleyball,Silver
1722,"Bernardo ""Bernardinho"" Rocha de Rezende",M,25.0,185.0,80.0,Brazil,1984 Summer,1984,Volleyball,Volleyball Men's Volleyball,Silver
1723,Miosz Bernatajtys,M,26.0,183.0,72.0,Poland,2008 Summer,2008,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
1724,Sylvie Bernier,F,20.0,157.0,53.0,Canada,1984 Summer,1984,Diving,Diving Women's Springboard,Gold
1725,Ole Valdemar Henrik Berntsen,M,33.0,180.0,77.0,Snap,1948 Summer,1948,Sailing,Sailing Mixed Three Person Keelboat,Bronze
1726,Ole Valdemar Henrik Berntsen,M,41.0,180.0,77.0,Tip,1956 Summer,1956,Sailing,Sailing Mixed Three Person Keelboat,Silver
1727,Ole Valdemar Henrik Berntsen,M,49.0,180.0,77.0,White Lady,1964 Summer,1964,Sailing,Sailing Mixed Three Person Keelboat,Gold
1728,William Eldred Berntsen,M,36.0,170.0,70.0,Snap,1948 Summer,1948,Sailing,Sailing Mixed Three Person Keelboat,Bronze
1729,William Eldred Berntsen,M,48.0,170.0,70.0,Web II,1960 Summer,1960,Sailing,Sailing Mixed 5.5 metres,Silver
1730,Gilles Berolatti,M,24.0,176.0,68.0,France,1968 Summer,1968,Fencing,"Fencing Men's Foil, Team",Gold
1731,Gilles Berolatti,M,28.0,176.0,68.0,France,1972 Summer,1972,Fencing,"Fencing Men's Foil, Team",Bronze
1732,Cdric Berrest,M,23.0,191.0,94.0,France,2008 Summer,2008,Rowing,Rowing Men's Quadruple Sculls,Bronze
1733,Livio Berruti,M,21.0,180.0,66.0,Italy,1960 Summer,1960,Athletics,Athletics Men's 200 metres,Gold
1734,Kevin John Berry,M,15.0,172.0,71.0,Australia,1960 Summer,1960,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
1735,Kevin John Berry,M,19.0,172.0,71.0,Australia,1964 Summer,1964,Swimming,Swimming Men's 200 metres Butterfly,Gold
1736,Kevin John Berry,M,19.0,172.0,71.0,Australia,1964 Summer,1964,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
1737,Nicolas Joseph Flix Berthelot,M,24.0,178.0,69.0,France,1988 Summer,1988,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
1738,Lorenzo Bertini,M,28.0,187.0,70.0,Italy,2004 Summer,2004,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
1739,Silvano Bertini,M,24.0,170.0,67.0,Italy,1964 Summer,1964,Boxing,Boxing Men's Welterweight,Bronze
1740,Franco Bertoli,M,25.0,189.0,83.0,Italy,1984 Summer,1984,Volleyball,Volleyball Men's Volleyball,Bronze
1741,Sergio Bertoni,M,20.0,180.0,79.0,Italy,1936 Summer,1936,Football,Football Men's Football,Gold
1742,Gilles Bertould,M,23.0,176.0,63.0,France,1972 Summer,1972,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1743,Jrgen Bertow,M,26.0,184.0,79.0,East Germany,1976 Summer,1976,Rowing,Rowing Men's Double Sculls,Bronze
1744,John Edwin Bertrand,M,29.0,188.0,86.0,Australia,1976 Summer,1976,Sailing,Sailing Mixed One Person Dinghy,Bronze
1745,John Joseph Bertrand,M,28.0,185.0,82.0,United States,1984 Summer,1984,Sailing,Sailing Mixed One Person Dinghy,Silver
1746,Ryan Thomas Berube,M,22.0,180.0,68.0,United States,1996 Summer,1996,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
1747,Aldis Imants Berzins,M,27.0,188.0,79.0,United States,1984 Summer,1984,Volleyball,Volleyball Men's Volleyball,Gold
1748,Juris Brzi,M,26.0,154.0,50.0,Soviet Union,1980 Summer,1980,Rowing,Rowing Men's Coxed Fours,Silver
1749,Mria Berzsenyi,F,29.0,170.0,58.0,Hungary,1976 Summer,1976,Handball,Handball Women's Handball,Bronze
1750,Annemieke Marileen Bes,F,30.0,177.0,70.0,Netherlands,2008 Summer,2008,Sailing,Sailing Women's Three Person Keelboat,Silver
1751,Vida Beselien (ulskyt-),F,23.0,190.0,91.0,Soviet Union,1980 Summer,1980,Basketball,Basketball Women's Basketball,Gold
1752,Nadezhda Viktorovna Besfamilnaya,F,25.0,166.0,55.0,Soviet Union,1976 Summer,1976,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1753,Doina Ofelia Beliu-Melinte,F,27.0,171.0,59.0,Romania,1984 Summer,1984,Athletics,Athletics Women's 800 metres,Gold
1754,Doina Ofelia Beliu-Melinte,F,27.0,171.0,59.0,Romania,1984 Summer,1984,Athletics,"Athletics Women's 1,500 metres",Silver
1755,Joseph Bessala,M,27.0,165.0,67.0,Cameroon,1968 Summer,1968,Boxing,Boxing Men's Welterweight,Silver
1756,Colette Besson (-Nogus),F,22.0,169.0,58.0,France,1968 Summer,1968,Athletics,Athletics Women's 400 metres,Gold
1757,"Gregory Alan ""Greg"" Best",M,24.0,187.0,75.0,United States,1988 Summer,1988,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
1758,"Gregory Alan ""Greg"" Best",M,24.0,187.0,75.0,United States,1988 Summer,1988,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
1759,John Roderick Bestall,M,29.0,178.0,77.0,Australia,1992 Summer,1992,Hockey,Hockey Men's Hockey,Silver
1760,Danny Betancourt Chacn,M,23.0,175.0,75.0,Cuba,2004 Summer,2004,Baseball,Baseball Men's Baseball,Gold
1761,Guillermo Betancourt Scull,M,29.0,174.0,62.0,Cuba,1992 Summer,1992,Fencing,"Fencing Men's Foil, Team",Silver
1762,Jean-Christophe Bette,M,22.0,186.0,72.0,France,2000 Summer,2000,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
1763,"Hansjrg ""Hans"" Bettembourg",M,28.0,172.0,93.0,Sweden,1972 Summer,1972,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
1764,Jol Bettin,M,21.0,184.0,76.0,France,1988 Summer,1988,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
1765,Paolo Bettini,M,30.0,169.0,58.0,Italy,2004 Summer,2004,Cycling,"Cycling Men's Road Race, Individual",Gold
1766,Nicole Beukers,F,25.0,170.0,66.0,Netherlands,2016 Summer,2016,Rowing,Rowing Women's Quadruple Sculls,Silver
1767,"Catharina Johanna ""Toos"" Beumer (-Krediet)",F,17.0,174.0,70.0,Netherlands,1964 Summer,1964,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1768,Allison Beveridge,F,23.0,169.0,62.0,Canada,2016 Summer,2016,Cycling,Cycling Women's Team Pursuit,Bronze
1769,Tully Louise Bevilaqua (Crook-),F,36.0,165.0,66.0,Australia,2008 Summer,2008,Basketball,Basketball Women's Basketball,Silver
1770,"Samuel Ryan ""Sam"" Bewley",M,21.0,192.0,80.0,New Zealand,2008 Summer,2008,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
1771,"Samuel Ryan ""Sam"" Bewley",M,25.0,192.0,80.0,New Zealand,2012 Summer,2012,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
1772,Hans-Georg Beyer,M,23.0,189.0,96.0,East Germany,1980 Summer,1980,Handball,Handball Men's Handball,Gold
1773,Udo Beyer,M,20.0,195.0,135.0,East Germany,1976 Summer,1976,Athletics,Athletics Men's Shot Put,Gold
1774,Udo Beyer,M,24.0,195.0,135.0,East Germany,1980 Summer,1980,Athletics,Athletics Men's Shot Put,Bronze
1775,Uwe Beyer,M,19.0,191.0,108.0,Germany,1964 Summer,1964,Athletics,Athletics Men's Hammer Throw,Bronze
1776,Jamie Lynn Beyerle-Gray (-Corkish),F,28.0,157.0,55.0,United States,2012 Summer,2012,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
1777,Ina Beyermann,F,19.0,170.0,60.0,West Germany,1984 Summer,1984,Swimming,Swimming Women's 200 metres Butterfly,Bronze
1778,Ina Beyermann,F,19.0,170.0,60.0,West Germany,1984 Summer,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
1779,Malik Beylerolu,M,26.0,175.0,75.0,Turkey,1996 Summer,1996,Boxing,Boxing Men's Middleweight,Silver
1780,Mislav Bezmalinovi,M,21.0,197.0,88.0,Yugoslavia,1988 Summer,1988,Water Polo,Water Polo Men's Water Polo,Gold
1781,Volodymyr Vasylovych Bezsonov,M,22.0,178.0,70.0,Soviet Union,1980 Summer,1980,Football,Football Men's Football,Bronze
1782,Hanna Volodymyrivna Bezsonova,F,20.0,174.0,49.0,Ukraine,2004 Summer,2004,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Bronze
1783,Hanna Volodymyrivna Bezsonova,F,24.0,174.0,49.0,Ukraine,2008 Summer,2008,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Bronze
1784,Mohini Bhardwaj (-Barry),F,25.0,147.0,43.0,United States,2004 Summer,2004,Gymnastics,Gymnastics Women's Team All-Around,Silver
1785,Vasudevan Bhaskaran,M,29.0,174.0,68.0,India,1980 Summer,1980,Hockey,Hockey Men's Hockey,Gold
1786,Kulbir Singh Bhaura,M,28.0,178.0,72.0,Great Britain,1984 Summer,1984,Hockey,Hockey Men's Hockey,Bronze
1787,Kulbir Singh Bhaura,M,32.0,178.0,72.0,Great Britain,1988 Summer,1988,Hockey,Hockey Men's Hockey,Gold
1788,Stephen Raj Bhavsar,M,27.0,169.0,54.0,United States,2008 Summer,2008,Gymnastics,Gymnastics Men's Team All-Around,Bronze
1789,Bi Wenjing,F,14.0,142.0,35.0,China,1996 Summer,1996,Gymnastics,Gymnastics Women's Uneven Bars,Silver
1790,Carlo Biagi,M,22.0,169.0,70.0,Italy,1936 Summer,1936,Football,Football Men's Football,Gold
1791,Diana Bianchedi,F,22.0,158.0,46.0,Italy,1992 Summer,1992,Fencing,"Fencing Women's Foil, Team",Gold
1792,Diana Bianchedi,F,30.0,158.0,46.0,Italy,2000 Summer,2000,Fencing,"Fencing Women's Foil, Team",Gold
1793,Sergio Bianchetto,M,21.0,173.0,70.0,Italy,1960 Summer,1960,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
1794,Sergio Bianchetto,M,25.0,173.0,70.0,Italy,1964 Summer,1964,Cycling,Cycling Men's Sprint,Silver
1795,Sergio Bianchetto,M,25.0,173.0,70.0,Italy,1964 Summer,1964,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
1796,"Enrico ""Rico"" Bianchi",M,22.0,182.0,82.0,Switzerland,1952 Summer,1952,Rowing,Rowing Men's Coxed Fours,Silver
1797,Suzannah Bianco,F,23.0,165.0,52.0,United States,1996 Summer,1996,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
1798,Roberta Bianconi,F,27.0,176.0,76.0,Italy,2016 Summer,2016,Water Polo,Water Polo Women's Water Polo,Silver
1799,Dariusz Edward Biakowski,M,22.0,185.0,91.0,Poland,1992 Summer,1992,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
1800,Dariusz Edward Biakowski,M,30.0,185.0,91.0,Poland,2000 Summer,2000,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
1801,Michel Bibard,M,25.0,185.0,78.0,France,1984 Summer,1984,Football,Football Men's Football,Gold
1802,"Daniel ""Dan"" Bibby",M,25.0,176.0,86.0,Great Britain,2016 Summer,2016,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
1803,Damir Biani,M,27.0,194.0,95.0,Croatia,2012 Summer,2012,Handball,Handball Men's Handball,Bronze
1804,Yuliya Valentinovna Bichik,F,21.0,184.0,84.0,Belarus,2004 Summer,2004,Rowing,Rowing Women's Coxless Pairs,Bronze
1805,Yuliya Valentinovna Bichik,F,25.0,184.0,84.0,Belarus,2008 Summer,2008,Rowing,Rowing Women's Coxless Pairs,Bronze
1806,Nezha Bidouane,F,30.0,174.0,65.0,Morocco,2000 Summer,2000,Athletics,Athletics Women's 400 metres Hurdles,Bronze
1807,Ferdinand Reinhardt Bie,M,24.0,174.0,72.0,Norway,1912 Summer,1912,Athletics,Athletics Men's Pentathlon,Gold
1808,Anni Biechl (-Capeller),F,20.0,163.0,60.0,Germany,1960 Summer,1960,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
1809,Sebastian Friedrich Felix Biederlack,M,22.0,176.0,73.0,Germany,2004 Summer,2004,Hockey,Hockey Men's Hockey,Bronze
1810,Sebastian Friedrich Felix Biederlack,M,26.0,176.0,73.0,Germany,2008 Summer,2008,Hockey,Hockey Men's Hockey,Gold
1811,Ivan Pavlovych Bieliaiev,M,29.0,178.0,67.0,Soviet Union,1964 Summer,1964,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
1812,Volodymyr Mykolaiovych Bieliaiev,M,28.0,165.0,83.0,Soviet Union,1968 Summer,1968,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
1813,Volodymyr Ivanovych Bieliaiev,M,23.0,194.0,110.0,Soviet Union,1968 Summer,1968,Volleyball,Volleyball Men's Volleyball,Gold
1814,Oleksandr Mykhailovych Bielostienniy,M,21.0,214.0,117.0,Soviet Union,1980 Summer,1980,Basketball,Basketball Men's Basketball,Bronze
1815,Oleksandr Mykhailovych Bielostienniy,M,29.0,214.0,117.0,Soviet Union,1988 Summer,1988,Basketball,Basketball Men's Basketball,Gold
1816,Alois Bierl,M,28.0,192.0,95.0,West Germany,1972 Summer,1972,Rowing,Rowing Men's Coxed Fours,Gold
1817,Roman Biera,M,23.0,187.0,103.0,Poland,1980 Summer,1980,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
1818,Rauno Antero Bies,M,22.0,189.0,86.0,Finland,1984 Summer,1984,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
1819,Laryssa Biesenthal,F,25.0,173.0,66.0,Canada,1996 Summer,1996,Rowing,Rowing Women's Quadruple Sculls,Bronze
1820,Laryssa Biesenthal,F,29.0,173.0,66.0,Canada,2000 Summer,2000,Rowing,Rowing Women's Coxed Eights,Bronze
1821,Jerome Cousins Biffle,M,24.0,184.0,79.0,United States,1952 Summer,1952,Athletics,Athletics Men's Long Jump,Gold
1822,Tyrell Biggs,M,23.0,195.0,99.0,United States,1984 Summer,1984,Boxing,Boxing Men's Super-Heavyweight,Gold
1823,"Mary Denise Bignal-Rand (-Toomey, -Reese)",F,24.0,173.0,61.0,Great Britain,1964 Summer,1964,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1824,"Mary Denise Bignal-Rand (-Toomey, -Reese)",F,24.0,173.0,61.0,Great Britain,1964 Summer,1964,Athletics,Athletics Women's Long Jump,Gold
1825,"Mary Denise Bignal-Rand (-Toomey, -Reese)",F,24.0,173.0,61.0,Great Britain,1964 Summer,1964,Athletics,Athletics Women's Pentathlon,Silver
1826,Fiona Clare Bigwood,F,40.0,173.0,75.0,Great Britain,2016 Summer,2016,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
1827,Marko Bija,M,25.0,201.0,85.0,Croatia,2016 Summer,2016,Water Polo,Water Polo Men's Water Polo,Silver
1828,Dominique Bijotat,M,23.0,180.0,73.0,France,1984 Summer,1984,Football,Football Men's Football,Gold
1829,Hamide Bkn (-Tosun),F,22.0,167.0,57.0,Turkey,2000 Summer,2000,Taekwondo,Taekwondo Women's Featherweight,Bronze
1830,Abebe Bikila,M,28.0,177.0,57.0,Ethiopia,1960 Summer,1960,Athletics,Athletics Men's Marathon,Gold
1831,Abebe Bikila,M,32.0,177.0,57.0,Ethiopia,1964 Summer,1964,Athletics,Athletics Men's Marathon,Gold
1832,Yordan Bikov,M,19.0,168.0,75.0,Bulgaria,1972 Summer,1972,Weightlifting,Weightlifting Men's Middleweight,Gold
1833,Jim Bilba,M,32.0,198.0,99.0,France,2000 Summer,2000,Basketball,Basketball Men's Basketball,Silver
1834,"Pamela Jean ""Pam"" Bileck (-Flat)",F,15.0,153.0,43.0,United States,1984 Summer,1984,Gymnastics,Gymnastics Women's Team All-Around,Silver
1835,Simone Arianne Biles,F,19.0,143.0,47.0,United States,2016 Summer,2016,Gymnastics,Gymnastics Women's Individual All-Around,Gold
1836,Simone Arianne Biles,F,19.0,143.0,47.0,United States,2016 Summer,2016,Gymnastics,Gymnastics Women's Team All-Around,Gold
1837,Simone Arianne Biles,F,19.0,143.0,47.0,United States,2016 Summer,2016,Gymnastics,Gymnastics Women's Floor Exercise,Gold
1838,Simone Arianne Biles,F,19.0,143.0,47.0,United States,2016 Summer,2016,Gymnastics,Gymnastics Women's Horse Vault,Gold
1839,Simone Arianne Biles,F,19.0,143.0,47.0,United States,2016 Summer,2016,Gymnastics,Gymnastics Women's Balance Beam,Bronze
1840,Govinda Billimogaputtaswamy,M,20.0,171.0,60.0,India,1972 Summer,1972,Hockey,Hockey Men's Hockey,Bronze
1841,"Robert Iain Colin ""Bob"" Billingham",M,30.0,183.0,109.0,United States,1988 Summer,1988,Sailing,Sailing Mixed Three Person Keelboat,Silver
1842,Sohen Biln,M,21.0,170.0,53.0,Canada,1960 Summer,1960,Rowing,Rowing Men's Coxed Eights,Silver
1843,Serhiy Oleksandrovych Biloushchenko,M,22.0,201.0,100.0,Ukraine,2004 Summer,2004,Rowing,Rowing Men's Quadruple Sculls,Bronze
1844,Dmitry Vladimirovich Bilozerchev,M,21.0,169.0,70.0,Soviet Union,1988 Summer,1988,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
1845,Dmitry Vladimirovich Bilozerchev,M,21.0,169.0,70.0,Soviet Union,1988 Summer,1988,Gymnastics,Gymnastics Men's Team All-Around,Gold
1846,Dmitry Vladimirovich Bilozerchev,M,21.0,169.0,70.0,Soviet Union,1988 Summer,1988,Gymnastics,Gymnastics Men's Rings,Gold
1847,Dmitry Vladimirovich Bilozerchev,M,21.0,169.0,70.0,Soviet Union,1988 Summer,1988,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
1848,Astra Biltauere (-Rubene),F,20.0,168.0,64.0,Soviet Union,1964 Summer,1964,Volleyball,Volleyball Women's Volleyball,Silver
1849,Krali Peychev Bimbalov,M,25.0,178.0,87.0,Bulgaria,1960 Summer,1960,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
1850,Thomas Bimis,M,29.0,169.0,69.0,Greece,2004 Summer,2004,Diving,Diving Men's Synchronized Springboard,Gold
1851,"Klena Geertje ""Klenie"" Bimolt (-de Jonge)",F,19.0,174.0,70.0,Netherlands,1964 Summer,1964,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
1852,Aranka Binder,F,26.0,163.0,47.0,Individual Olympic Athletes,1992 Summer,1992,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze
1853,Abhinav Bindra,M,25.0,173.0,70.0,India,2008 Summer,2008,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
1854,Michael Allen Oswald Bingham,M,22.0,183.0,75.0,Great Britain,2008 Summer,2008,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1855,"Matthew Nicholas ""Matt"" Biondi",M,18.0,200.0,95.0,United States,1984 Summer,1984,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1856,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,1988 Summer,1988,Swimming,Swimming Men's 50 metres Freestyle,Gold
1857,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,1988 Summer,1988,Swimming,Swimming Men's 100 metres Freestyle,Gold
1858,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,1988 Summer,1988,Swimming,Swimming Men's 200 metres Freestyle,Bronze
1859,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,1988 Summer,1988,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1860,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,1988 Summer,1988,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
1861,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,1988 Summer,1988,Swimming,Swimming Men's 100 metres Butterfly,Silver
1862,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,1988 Summer,1988,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1863,"Matthew Nicholas ""Matt"" Biondi",M,26.0,200.0,95.0,United States,1992 Summer,1992,Swimming,Swimming Men's 50 metres Freestyle,Silver
1864,"Matthew Nicholas ""Matt"" Biondi",M,26.0,200.0,95.0,United States,1992 Summer,1992,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1865,"Matthew Nicholas ""Matt"" Biondi",M,26.0,200.0,95.0,United States,1992 Summer,1992,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1866,"Alexandre Jacques Joseph Baptiste Henri ""Alex"" Bioussa",M,23.0,173.0,77.0,France,1924 Summer,1924,Rugby,Rugby Men's Rugby,Silver
1867,"Ubiratan ""Bira"" Pereira Maciel",M,20.0,196.0,96.0,Brazil,1964 Summer,1964,Basketball,Basketball Men's Basketball,Bronze
1868,Emanuele Birarelli,M,31.0,202.0,95.0,Italy,2012 Summer,2012,Volleyball,Volleyball Men's Volleyball,Bronze
1869,Emanuele Birarelli,M,35.0,202.0,95.0,Italy,2016 Summer,2016,Volleyball,Volleyball Men's Volleyball,Silver
1870,Stefan Birevi,M,26.0,210.0,104.0,Serbia,2016 Summer,2016,Basketball,Basketball Men's Basketball,Silver
1871,Aage Birch,M,42.0,172.0,70.0,Denmark,1968 Summer,1968,Sailing,Sailing Mixed Three Person Keelboat,Silver
1872,Andrew David Bird,M,21.0,167.0,50.0,New Zealand,1988 Summer,1988,Rowing,Rowing Men's Coxed Fours,Bronze
1873,Larry Joe Bird,M,35.0,205.0,100.0,United States,1992 Summer,1992,Basketball,Basketball Men's Basketball,Gold
1874,"Suzanne Brigit ""Sue"" Bird",F,23.0,175.0,66.0,United States,2004 Summer,2004,Basketball,Basketball Women's Basketball,Gold
